Fecha,Empresa,Apertura,Maximo,Minimo,Cierre,Volumen
2024-01-02,Santander,3.95,4.10,3.90,4.05,85000000
2024-01-02,BBVA,7.20,7.45,7.15,7.38,62000000
2024-01-02,CaixaBank,4.10,4.25,4.08,4.20,45000000
2024-01-02,Bankinter,6.80,6.95,6.75,6.90,12000000
2024-01-02,Sabadell,1.45,1.52,1.43,1.50,38000000
2024-01-03,Santander,4.05,4.18,3.98,4.12,78000000
2024-01-03,BBVA,7.38,7.55,7.30,7.48,58000000
2024-01-03,CaixaBank,4.20,4.32,4.15,4.28,41000000
2024-01-03,Bankinter,6.90,7.05,6.85,7.00,11000000
2024-01-03,Sabadell,1.50,1.58,1.47,1.55,35000000
2024-01-04,Santander,4.12,4.20,4.05,4.08,71000000
2024-01-04,BBVA,7.48,7.60,7.40,7.42,55000000
2024-01-04,CaixaBank,4.28,4.35,4.20,4.22,38000000
2024-01-04,Bankinter,7.00,7.10,6.92,6.95,10000000
2024-01-04,Sabadell,1.55,1.60,1.50,1.52,32000000
2024-01-05,Santander,4.08,4.22,4.02,4.18,90000000
2024-01-05,BBVA,7.42,7.65,7.35,7.58,70000000
2024-01-05,CaixaBank,4.22,4.38,4.18,4.35,50000000
2024-01-05,Bankinter,6.95,7.08,6.90,7.02,13000000
2024-01-05,Sabadell,1.52,1.62,1.50,1.60,40000000
2024-01-08,Santander,4.18,4.30,4.12,4.25,82000000
2024-01-08,BBVA,7.58,7.72,7.50,7.65,65000000
2024-01-08,CaixaBank,4.35,4.45,4.28,4.40,44000000
2024-01-08,Bankinter,7.02,7.18,6.98,7.12,12500000
2024-01-08,Sabadell,1.60,1.68,1.55,1.65,36000000
2024-01-09,Santander,4.25,4.35,4.18,4.20,75000000
2024-01-09,BBVA,7.65,7.75,7.55,7.60,60000000
2024-01-09,CaixaBank,4.40,4.50,4.32,4.38,42000000
2024-01-09,Bankinter,7.12,7.22,7.05,7.08,11500000
2024-01-09,Sabadell,1.65,1.72,1.60,1.62,34000000
2024-01-10,Santander,4.20,4.32,4.15,4.28,80000000
2024-01-10,BBVA,7.60,7.78,7.52,7.72,68000000
2024-01-10,CaixaBank,4.38,4.48,4.30,4.45,46000000
2024-01-10,Bankinter,7.08,7.20,7.02,7.15,12000000
2024-01-10,Sabadell,1.62,1.70,1.58,1.68,37000000
