N_ID;Marca;Modelo;Anyo;Color;Kilómetros;Motor;Combustible;Tamaño;N_Ocupantes;Peso;C_Maletero;Potencia;Emisiones;Autonomía;Precio;Valor Estimado (€);Depreciación (%)
1;SEAT;Ibiza;2020;Rojo;45000;1.0 TSI;Gasolina;4.06x1.78x1.44;5;1120;292;95 CV;116.0;700;14500;7610.76;47.51
2;SEAT;León;2021;Blanco;30000;1.5 TSI;Gasolina;4.37x1.80x1.46;5;1295;380;150 CV;133.0;650;22000;12830.4;41.68
3;SEAT;Ateca;2019;Gris;70000;2.0 TDI;Diésel;4.36x1.84x1.61;5;1540;510;150 CV;120.0;850;21000;10471.36;50.14
4;SEAT;Arona;2022;Azul;15000;1.0 TSI;Gasolina;4.14x1.78x1.55;5;1200;420;110 CV;120.0;700;19500;12636.0;35.2
5;SEAT;Tarraco;2021;Negro;40000;2.0 TDI;Diésel;4.74x1.86x1.67;7;1835;700;190 CV;149.0;950;36000;20995.2;41.68
6;Volkswagen;Golf;2021;Blanco;25000;1.5 TSI;Gasolina;4.28x1.79x1.45;5;1280;381;130 CV;132.0;700;26000;15163.2;41.68
7;Volkswagen;Polo;2022;Gris;10000;1.0 TSI;Gasolina;4.07x1.75x1.45;5;1075;351;95 CV;116.0;650;17900;11599.2;35.2
8;Volkswagen;Tiguan;2020;Azul;55000;2.0 TDI;Diésel;4.49x1.84x1.67;5;1565;615;150 CV;139.0;900;31000;16271.28;47.51
9;Volkswagen;Passat;2019;Negro;80000;2.0 TDI;Diésel;4.77x1.83x1.48;5;1520;586;150 CV;134.0;850;25000;12465.9;50.14
10;Volkswagen;T-Roc;2022;Rojo;8000;1.5 TSI;Gasolina;4.23x1.82x1.58;5;1360;445;150 CV;141.0;750;29000;18792.0;35.2
11;Toyota;Yaris;2022;Blanco;5000;1.5 Híbrido;Híbrido;3.94x1.74x1.50;5;1120;270;116 CV;92.0;900;20500;13284.0;35.2
12;Toyota;Corolla;2021;Gris;20000;1.8 Híbrido;Híbrido;4.37x1.79x1.44;5;1375;361;122 CV;103.0;850;26000;15163.2;41.68
13;Toyota;C-HR;2020;Azul;35000;1.8 Híbrido;Híbrido;4.36x1.80x1.56;5;1445;377;122 CV;87.0;800;27000;14171.76;47.51
14;Toyota;RAV4;2021;Negro;28000;2.5 Híbrido;Híbrido;4.60x1.86x1.69;5;1785;580;222 CV;101.0;900;39000;22744.8;41.68
15;Toyota;Yaris Cross;2022;Rojo;12000;1.5 Híbrido;Híbrido;4.18x1.77x1.59;5;1355;320;116 CV;92.0;850;24000;15552.0;35.2
